#signalNumber pressure[MPa] length[mm]
584 0.108128 105.012889
585 0.149507 105.476761
586 0.238176 104.91786
587 0.019144 107.9588
588 0.351699 103.643824
589 0.326802 103.279815
590 0.073367 105.787619
591 0.262018 104.734244
592 0.161275 104.768068
593 0.316523 103.279815
594 0.277023 103.284647
595 0.035151 107.145412
596 0.050841 107.482042
597 0.446771 100.801007
598 0.403054 99.048611
599 0.113783 105.056377
600 0.321783 103.113916
601 0.009068 107.572239
602 0.214364 106.24827
603 0.279035 104.690756
604 0.459192 98.339922
605 0.062867 106.534969
606 0.305256 104.117359
607 0.2915 104.123802
608 0.034689 106.910254
609 0.057042 107.427279
610 0.170089 107.174404
611 0.343318 103.514971
612 0.418701 98.839225
613 0.427765 98.832783
614 0.437012 97.64734
615 0.420803 97.67311
616 0.062071 106.507588
617 0.10617 107.023001
618 0.414292 101.669153
619 0.493916 95.909443
620 0.302975 96.494111
621 0.093615 106.129081
622 0.085575 106.699257
623 0.165743 106.687982
624 0.426791 101.182733
625 0.452539 97.465336
626 0.06856 106.383566
627 0.318696 103.637382
628 0.332793 103.474705
629 0.036435 106.628388
630 0.463871 99.451275
631 0.451402 97.541036
632 0.316532 97.597409
633 0.49787 95.75321
634 0.191129 99.971518
635 0.26644 101.089315
636 0.242082 101.084483
637 0.214004 101.094147
638 0.496643 97.600631
639 0.284404 99.027672
640 0.488835 95.822468
641 0.446581 95.814415
642 0.10072 105.312473
643 0.277553 103.938576
644 0.1395 104.96779
645 0.052936 106.965017
646 0.468556 98.244893
647 0.387526 97.391245
648 0.374915 97.396077
649 0.416852 97.392856
650 0.149395 103.787173
651 0.056411 107.275876
652 0.167819 107.048772
653 0.46605 98.641115
654 0.428626 97.47661
655 0.151891 103.431217
656 0.020696 107.942693
657 0.3821 102.751517
658 0.090573 105.560515
659 0.399358 100.802618
660 0.026712 106.868377
661 0.469529 99.923198
662 0.414183 98.547696
663 0.188023 100.598064
664 0.097964 105.940633
665 0.307006 103.600336
666 0.145777 104.937188
667 0.321343 103.184785
668 0.387109 100.432166
669 0.215831 100.522363
670 0.465579 97.444397
671 0.378398 97.447618
672 0.399993 97.437954
673 0.093646 105.903587
674 0.276288 104.36057
675 0.463496 97.468557
676 0.129412 104.130245
677 0.479055 98.995459
678 0.236188 99.573685
679 0.147815 103.299142
680 0.060367 107.166351
681 0.45023 99.865214
682 0.222346 100.111645
683 0.073496 106.721806
684 0.125241 106.665433
685 0.467856 98.784463
686 0.009322 107.425668
687 0.335581 103.679259
688 0.448537 97.320377
689 0.085674 105.948686
690 0.189712 105.927747
691 0.473441 98.019401
692 0.071014 106.143577
693 0.359204 102.503475
694 0.445546 97.363864
695 0.268334 97.911487
696 0.348601 97.882495
697 0.218569 100.240498
698 0.380788 99.541472
699 0.028054 107.424058
700 0.130551 107.514255
701 0.27826 105.043492
702 0.089578 106.952132
703 0.055778 107.541637
704 0.296078 104.07065
705 0.199758 103.993338
706 0.099763 105.517027
707 0.417003 100.213117
708 0.456264 99.019619
709 0.374173 98.534811
710 0.490796 96.326603
711 0.07483 106.067875
712 0.425737 100.971737
713 0.319962 99.694485
714 0.461541 97.260782
715 0.432015 97.283331
716 0.112345 105.054766
717 0.443334 100.127752
718 0.338937 99.939305
719 0.296268 99.948969
720 0.090112 105.997006
721 0.340694 102.78373
722 0.416718 98.721647
723 0.022925 107.243663
724 0.378207 102.524414
725 0.058121 106.135523
726 0.325186 102.413278
727 0.008534 107.866992
728 0.373305 102.80789
729 0.078244 105.781177
730 0.452638 99.34175
731 0.420339 97.863167
732 0.033543 107.130916
733 0.212261 106.312697
734 0.436326 98.921369
735 0.356031 98.06611
736 0.474461 96.395861
737 0.30464 96.998245
738 0.192077 101.322861
739 0.139703 104.310639
740 0.381333 101.166627
741 0.321859 101.14891
742 0.146187 103.072039
743 0.277162 102.443881
744 0.286191 102.437438
745 0.360047 100.486929
746 0.427324 98.987406
747 0.234177 100.615781
748 0.109565 105.439715
749 0.180751 105.468707
750 0.195304 105.42683
751 0.23111 105.223886
752 0.093693 106.275651
753 0.184229 106.137134
754 0.410332 101.413058
755 0.007748 107.219503
756 0.413743 101.522583
757 0.179985 102.886813
758 0.453825 97.37836
759 0.304003 97.47661
760 0.055943 107.192121
761 0.459599 99.270881
762 0.254332 99.093709
763 0.080336 106.505977
764 1E-05 108.503207
765 0.332001 104.310639
766 0.317361 103.284647
767 0.371389 100.717253
768 0.074166 106.56235
769 0.074295 106.75402
770 0.477419 98.887545
771 0.342538 97.605463
772 0.224292 99.449664
773 0.375529 98.926201
774 0.264526 98.987406
775 0.011383 108.092486
776 0.091085 108.110203
777 0.139392 107.992624
778 0.1376 108.00551
779 0.333318 104.396004
780 0.265248 104.106085
781 0.298768 103.057543
782 0.270574 103.09781
783 0.467796 97.072336
784 0.036433 107.288762
785 0.033921 107.831557
786 0.116877 108.02967
787 0.324614 104.428218
788 0.433033 98.024233
789 0.397774 98.043561
790 0.220272 99.78146
791 0.416377 98.67977
792 0.266771 98.753861
793 0.201979 101.065155
794 0.235734 101.00395
795 0.343585 100.551355
796 0.367729 100.522363
797 0.238756 100.602896
798 0.259022 100.61256
799 0.420574 98.99707
800 0.119728 104.104474
801 0.43648 99.691263
802 0.019149 106.907033
803 0.356136 102.39234
804 0.241323 102.437438
805 0.252728 102.455155
806 0.359299 100.56263
807 0.388602 99.419062
808 0.247041 99.541472
809 0.074467 106.605838
810 0.25586 105.122414
811 0.348954 102.804669
812 0.074578 105.901977
813 0.271732 103.967568
814 0.249611 103.994949
815 0.498749 97.542647
816 0.265725 98.264221
817 0.077849 106.752409
818 0.087349 106.668654
819 0.021961 108.181073
820 0.15031 107.739749
821 0.495464 97.956586
822 0.415139 96.782418
823 0.118181 105.06443
824 0.364235 101.949408
825 0.393922 99.427115
826 0.218768 100.464379
827 0.483644 96.93543
828 0.039304 106.840996
829 0.359168 102.727357
830 0.265456 102.737021
831 0.496568 95.608251
832 0.472126 95.629189
833 0.322357 95.642075
834 0.442571 95.698447
835 0.485548 95.625968
836 0.253521 98.244893
837 0.112288 105.375289
838 0.455314 99.961854
839 0.095834 105.529913
840 0.261407 104.381508
841 0.03835 107.245274
842 0.078593 107.647941
843 0.49923 97.937258
844 0.415418 96.824295
845 0.254715 98.23684
846 0.298534 98.186909
847 0.080376 106.689593
848 0.492284 98.127315
849 0.177944 100.649605
850 0.414549 99.237058
851 0.202427 101.541911
852 0.240244 101.562849
853 0.483846 97.806795
854 0.083017 105.744131
855 0.085621 106.233774
856 0.415149 101.12636
857 0.115951 104.363791
858 0.050326 107.443386
859 0.152908 107.195343
860 0.094568 107.230778
861 0.281821 104.974233
862 0.275178 104.927524
863 0.143423 105.570179
864 0.442338 97.503991
865 0.279508 97.603852
866 0.078488 106.762073
867 0.351273 102.939965
868 0.362193 100.627056
869 0.426703 98.312541
870 0.498428 96.015746
871 0.081174 105.882649
872 0.216238 105.568569
873 0.089971 106.336857
874 0.182441 106.24827
875 0.316372 103.685702
876 0.298338 103.659931
877 0.408907 98.425287
878 0.261733 98.554139
879 0.194639 101.477484
880 0.192068 102.113695
881 0.004933 108.508039
882 0.191892 107.324196
883 0.055639 107.921755
884 0.246064 106.312697
885 0.214167 106.275651
886 0.480026 96.210635
887 0.050122 106.932804
888 0.22558 106.111363
889 0.274861 104.937188
890 0.427773 98.056446
891 0.099897 105.71675
892 0.29928 103.605168
893 0.052448 107.018169
894 0.096655 107.287151
895 0.496298 97.961418
896 0.08211 106.182233
897 0.355809 102.590451
898 0.174516 103.957904
899 0.306862 102.613
900 0.218102 102.613
901 0.376405 100.399953
902 0.491182 95.967427
903 0.416008 95.936824
904 0.088859 106.050158
905 0.157077 106.111363
906 0.309776 103.737243
907 0.192583 103.774288
908 0.370835 100.139026
909 0.073909 106.478595
910 0.030927 108.002288
911 0.371237 102.910973
912 0.481858 96.236406
913 0.221303 98.757082
914 0.479402 97.185081
915 0.253516 99.303095
916 0.207614 100.884761
917 0.018508 108.082822
918 0.112663 107.955579
919 0.267601 105.534745
920 0.189915 105.568569
921 0.496685 95.621136
922 0.080983 106.048547
923 0.035302 107.973296
924 0.128625 107.829947
925 0.092989 107.797733
926 0.102813 107.831557
927 0.289822 104.99034
928 0.083708 107.053604
929 0.052935 107.751024
930 0.167793 107.395066
931 0.016304 108.258385
932 0.072849 108.427505
933 0.451341 98.855332
934 0.116556 105.583065
935 0.049755 107.66888
936 0.442477 100.179293
937 0.484683 96.478004
938 0.122777 104.946852
939 0.276936 103.806501
940 0.180344 103.94824
941 0.230135 103.959514
942 0.277936 103.858043
943 0.440821 97.805184
944 0.274986 97.900213
945 0.473027 96.329824
946 0.20271 99.725087
947 0.410377 98.460721
948 0.35472 98.43495
949 0.442682 98.325426
950 0.081816 106.280483
951 0.395158 101.533857
952 0.126232 104.159237
953 0.254091 103.626107
954 0.032289 107.81384
955 0.102748 107.868603
956 0.429578 101.010393
957 0.177319 102.025109
958 0.202358 102.010613
959 0.099951 106.137134
960 0.224457 105.607225
961 0.152841 105.581454
962 0.123453 105.695811
963 0.181528 105.699033
964 0.348291 102.791784
965 0.176727 103.696976
966 0.017581 108.10215
967 0.206023 106.781401
968 0.036898 108.020006
969 0.143175 107.863771
970 0.314328 104.560292
971 0.252881 104.590895
972 0.108748 105.673262
973 0.03896 107.836389
974 0.394088 102.641992
975 0.490418 96.091447
976 0.139307 104.262319
977 0.478828 99.200013
978 0.151937 102.571123
979 0.025695 107.891152
980 0.379053 102.53891
981 0.339982 101.894645
982 0.104971 104.982286
983 0.371926 101.75935
984 0.036891 107.063268
985 0.054847 107.486874
986 0.448754 100.475654
987 0.130444 104.088368
988 0.436373 100.068157
989 0.475353 96.416799
990 0.166182 102.464819
991 0.452337 98.942307
992 0.242156 100.714031
993 0.167538 102.458377
994 0.079955 106.559129
995 0.134216 106.504366
996 0.455206 100.403174
997 0.047001 106.750798
998 0.134144 107.253327
999 0.493584 97.906655
1000 0.046229 106.792676
1001 0.473308 98.821508
1002 0.46711 96.824295
1003 0.489473 95.550267
1004 0.280002 96.980528
1005 0.189659 102.015445
1006 0.168426 103.221831
1007 0.100774 105.884259
1008 0.33638 102.994727
1009 0.22919 103.018887
1010 0.187324 103.078482
1011 0.402773 99.965075
1012 0.338713 99.969907
1013 0.263527 99.989235
1014 0.064859 107.003673
1015 0.444171 100.353244
1016 0.37659 98.784463
1017 0.266269 98.885934
1018 0.248347 98.942307
1019 0.183022 102.078261
1020 0.106123 105.769902
1021 0.261209 104.774511
1022 0.249039 104.813167
1023 0.328736 103.065596
1024 0.098825 105.927747
1025 0.439862 97.7472
1026 0.097874 105.699033
1027 0.304629 103.748517
1028 0.257188 103.758181
1029 0.177563 104.292922
1030 0.166642 104.260709
1031 0.1399 104.350906
1032 0.461433 97.616737
1033 0.07118 106.377123
1034 0.374049 102.356905
1035 0.427259 98.077385
1036 0.433091 98.077385
1037 0.287113 98.120872
1038 0.226303 99.451275
1039 0.252609 99.470603
1040 0.241336 99.441611
1041 0.355632 99.354636
1042 0.352609 99.312759
1043 0.176849 102.306975
1044 0.486556 98.378577
1045 0.052699 105.860099
